Week,Team,Score
1,Ready,115.80
1,McDonough,98.74
1,Rubel,129.18
1,Sanford,115.44
1,McGraw,130.70
2,Rubel,113.60
2,Schultz,104.00
2,Ready,136.24
2,Bo,156.92
2,Craig,126.22
3,McGraw,88.48
3,Liske,127.08
3,Kevin,138.36
3,Bo,141.40
3,Craig,121.32
4,Kevin,123.90
4,Sanford,124.78
4,McGraw,104.12
4,McDonough,73.74
4,Rubel,92.82
5,Craig,114.54
5,Schultz,99.02
5,Ready,118.40
5,McDonough,80.60
5,Rubel,94.02
6,McDonough,92.32
6,Sanford,90.04
6,Liske,95.18
6,Bo,108.52
6,Schultz,74.30
7,Ready,123.10
7,Rubel,137.08
7,McGraw,113.96
7,Kevin,92.56
7,Craig,79.62
8,Liske,103.98
8,Bo,103.64
8,Schultz,108.44
8,McDonough,125.14
8,Sanford,108.02
9,Ready,86.62
9,Liske,105.16
9,Craig,113.36
9,Sanford,110.24
9,Kevin,133.44
10,Rubel,116.16
10,Bo,61.22
10,McGraw,108.96
10,Liske,114.54
10,Kevin,96.72
1,Schultz,101.56
1,Bo,123.18
1,Craig,134.10
1,Liske,126.66
1,Kevin,99.92
2,McDonough,120.28
2,Sanford,121.50
2,McGraw,85.46
2,Liske,132.94
2,Kevin,144.90
3,Sanford,154.98
3,McDonough,104.60
3,Rubel,144.54
3,Schultz,86.72
3,Ready,104.40
4,Liske,133.80
4,Bo,131.10
4,Craig,106.30
4,Schultz,126.28
4,Ready,90.32
5,Bo,122.88
5,Liske,128.08
5,Kevin,127.06
5,Sanford,92.24
5,McGraw,95.00
6,Ready,100.42
6,Rubel,132.78
6,McGraw,110.14
6,Kevin,122.10
6,Craig,88.72
7,Sanford,135.08
7,Liske,99.52
7,Bo,115.32
7,Schultz,117.12
7,McDonough,128.30
8,Ready,70.26
8,Rubel,69.36
8,McGraw,62.12
8,Kevin,116.46
8,Craig,113.04
9,Bo,104.00
9,Schultz,109.90
9,Rubel,99.30
9,McDonough,121.08
9,McGraw,68.20
10,Schultz,110.60
10,McDonough,83.52
10,Ready,153.10
10,Sanford,87.28
10,Craig,91.78
